SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,BIRTHS2020,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,DEATHS2020,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,NATURALINC2020,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,INTERNATIONALMIG2020,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,DOMESTICMIG2020,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,NETMIG2020,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RESIDUAL2020,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,GQESTIMATES2019,GQESTIMATES2020,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RBIRTH2020,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RDEATH2020,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RNATURALINC2020,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RINTERNATIONALMIG2020,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RDOMESTICMIG2020,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019,RNETMIG2020
40,2,3,26,0,Michigan,Michigan,9883640,9884112,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,9966555,-6515,5456,15236,16513,17231,2450,19634,22635,10534,-2491,-18240,29099,113968,113055,113013,114514,113815,113522,112243,111032,109251,108474,22115,89827,89045,92319,91841,96306,94757,97489,98542,97215,103445,6984,24141,24010,20694,22673,17509,18765,14754,12490,12036,5029,4691,22175,24499,23793,23685,21766,28244,21372,14012,9228,7753,-18665,-40909,-32995,-28223,-28543,-36375,-27108,-13174,-15834,-23878,-31206,-13974,-18734,-8496,-4430,-4858,-14609,1136,8198,-1822,-14650,-23453,475,49,-278,249,-584,-450,-267,-317,-134,123,184,229500,228925,226967,227988,227686,228707,231516,230924,229523,226181,223469,218618,11.53484324,11.43046817,11.40791207,11.53977448,11.4579728,11.41578593,11.26323192,11.12320063,10.94037221,10.87385064,9.091502557,9.002928113,9.318990157,9.254976927,9.695308428,9.528775278,9.782714442,9.871950755,9.735089699,10.36972435,2.44334068,2.427540053,2.088921915,2.284797551,1.762664375,1.887010649,1.480517483,1.251249872,1.205282514,0.504126287,2.244359371,2.476980581,2.401745392,2.386778547,2.191224672,2.840220026,2.144612962,1.403724036,0.924089983,0.777190516,-4.140450845,-3.335971847,-2.848924481,-2.876327636,-3.661940523,-2.725983729,-1.321969454,-1.58625224,-2.391137909,-3.128209369,-1.896091475,-0.858991266,-0.44717909,-0.489549089,-1.470715852,0.114236296,0.822643508,-0.182528204,-1.467047926,-2.351018853
50,2,3,26,1,Michigan,Alcona County,10942,10943,10879,10742,10571,10550,10447,10327,10355,10305,10364,10453,10505,-64,-137,-171,-21,-103,-120,28,-50,59,89,52,20,60,58,65,66,52,58,67,51,72,82,65,176,200,182,179,198,183,192,163,174,180,-45,-116,-142,-117,-113,-146,-125,-125,-112,-102,-98,0,2,5,4,2,1,2,1,1,1,1,-17,-22,-32,91,8,25,149,73,171,192,150,-17,-20,-27,95,10,26,151,74,172,193,151,-2,-1,-2,1,0,0,2,1,-1,-2,-1,127,127,127,127,127,127,127,127,127,127,127,127,5.550159567,5.442687562,6.1550116,6.286612373,5.006257822,5.608741901,6.485963214,4.934926702,6.91742326,7.825174158,16.28046806,18.76788814,17.23403248,17.05005477,19.0622894,17.69654772,18.58664085,15.77241279,16.71710621,17.17721157,-10.7303085,-13.32520058,-11.07902088,-10.7634424,-14.05603158,-12.08780582,-12.10067764,-10.83748609,-9.799682951,-9.352037408,0.185005319,0.469197204,0.378769945,0.190503405,0.096274189,0.193404893,0.096805421,0.096763269,0.096075323,0.095428953,-2.035058508,-3.002862103,8.61701624,0.762013621,2.406854722,14.40866454,7.066795741,16.54651894,18.44646203,14.31434297,-1.850053189,-2.533664899,8.995786184,0.952517026,2.503128911,14.60206943,7.163601162,16.64328221,18.54253735,14.40977193
50,2,3,26,3,Michigan,Alger County,9601,9601,9578,9516,9456,9445,9370,9265,9138,9152,9105,9078,9015,-23,-62,-60,-11,-75,-105,-127,14,-47,-27,-63,13,53,61,59,61,59,61,64,57,58,57,15,97,121,104,117,138,117,114,112,109,114,-2,-44,-60,-45,-56,-79,-56,-50,-55,-51,-57,0,4,3,1,2,3,3,1,3,5,4,-21,-22,-1,32,-19,-28,-73,63,5,20,-9,-21,-18,2,33,-17,-25,-70,64,8,25,-5,0,0,-2,1,-2,-1,-1,0,0,-1,-1,1022,1022,1022,1039,1040,1048,1053,1058,1051,1051,1050,1021,5.551482141,6.430529201,6.243055923,6.484188148,6.332170647,6.62935391,6.998359759,6.244180314,6.379585327,6.300779307,10.16025977,12.75563989,11.00470875,12.43688546,14.81083982,12.71531816,12.46582832,12.26926658,11.9892207,12.60155861,-4.608777626,-6.325110689,-4.761652823,-5.952697316,-8.478669171,-6.085964245,-5.467468562,-6.025086268,-5.609635374,-6.300779307,0.418979784,0.316255535,0.105814507,0.212596333,0.321974779,0.326033799,0.109349371,0.328641069,0.549964252,0.442159951,-2.304388813,-0.105418511,3.386064229,-2.019665161,-3.005097934,-7.933489105,6.889010388,0.547735115,2.199857009,-0.994859891,-1.885409029,0.210837023,3.491878737,-1.807068828,-2.683123155,-7.607455306,6.998359759,0.876376185,2.749821262,-0.552699939
50,2,3,26,5,Michigan,Allegan County,111408,111398,111521,111167,111506,112020,113361,114122,115018,116393,117137,118045,118927,123,-354,339,514,1341,761,896,1375,744,908,882,339,1356,1348,1301,1367,1391,1399,1380,1336,1375,1423,192,908,915,929,918,1052,949,1045,988,1005,1021,147,448,433,372,449,339,450,335,348,370,402,25,58,74,77,66,41,102,57,45,42,38,-41,-862,-155,80,828,395,349,988,356,495,437,-16,-804,-81,157,894,436,451,1045,401,537,475,-8,2,-13,-15,-2,-14,-5,-5,-5,1,5,954,954,954,954,954,954,954,954,955,955,955,955,12.17847392,12.10744006,11.64070399,12.13057001,12.22948528,12.21087545,11.92683148,11.44178478,11.69307175,12.00985771,8.154907314,8.218329119,8.312232134,8.146205758,9.249042786,8.283145675,9.031549926,8.461439644,8.546572442,8.617051804,4.023566604,3.889110939,3.328471856,3.984364254,2.980442495,3.927729772,2.895281555,2.980345138,3.146499307,3.392805901,0.520908177,0.664651754,0.688957884,0.585674924,0.360466496,0.890285415,0.492629996,0.385389458,0.357170192,0.320712996,-7.741773243,-1.392175971,0.715800399,7.347558135,3.472786978,3.046172646,8.53891993,3.048858819,4.20950583,3.68819945,-7.220865067,-0.727524217,1.404758283,7.933233059,3.833253474,3.936458061,9.031549926,3.434248277,4.566676021,4.008912445
50,2,3,26,7,Michigan,Alpena County,29598,29594,29511,29342,29168,28964,28888,28728,28670,28434,28422,28391,28238,-83,-169,-174,-204,-76,-160,-58,-236,-12,-31,-153,66,280,243,257,275,275,259,273,292,235,233,113,363,368,372,332,368,382,406,392,362,365,-47,-83,-125,-115,-57,-93,-123,-133,-100,-127,-132,4,10,5,-1,5,9,15,10,8,7,3,-38,-96,-48,-85,-17,-73,53,-113,82,89,-24,-34,-86,-43,-86,-12,-64,68,-103,90,96,-21,-2,0,-6,-3,-7,-3,-3,0,-2,0,0,514,514,514,514,514,514,513,513,514,513,513,513,9.515232868,8.306272432,8.841945916,9.507017908,9.545959456,9.024704694,9.561501821,10.27156325,8.272754475,8.228999276,12.33581975,12.57904632,12.79845868,11.47756344,12.77422938,13.31056831,14.21966938,13.78922189,12.74356221,12.89092161,-2.820586886,-4.272773885,-3.956512764,-1.97054553,-3.228269925,-4.285863619,-4.658167554,-3.517658646,-4.470807738,-4.661922337,0.339829745,0.170910955,-0.034404459,0.172854871,0.312413219,0.522666295,0.350238162,0.281412692,0.246422474,0.10595278,-3.262365555,-1.640745172,-2.924379,-0.587706562,-2.534018328,1.846754242,-3.95769123,2.88448009,3.133085737,-0.847622243,-2.92253581,-1.469834216,-2.958783458,-0.414851691,-2.22160511,2.369420537,-3.607453068,3.165892782,3.379508211,-0.741669463
50,2,3,26,9,Michigan,Antrim County,23580,23577,23492,23324,23251,23128,23147,23036,23090,23267,23339,23359,23449,-85,-168,-73,-123,19,-111,54,177,72,20,90,40,210,204,156,224,209,214,154,183,162,186,81,265,243,261,282,290,267,260,285,273,300,-41,-55,-39,-105,-58,-81,-53,-106,-102,-111,-114,0,4,2,7,5,6,8,4,5,7,4,-43,-116,-30,-21,72,-33,99,279,169,125,204,-43,-112,-28,-14,77,-27,107,283,174,132,208,-1,-1,-6,-4,0,-3,0,0,0,-1,-4,226,226,226,226,226,226,226,226,226,226,226,226,8.971291866,8.760064412,6.727182561,9.681253377,9.050949484,9.278931622,6.644088272,7.853066129,6.938198638,7.947359426,11.32091593,10.43478261,11.2550939,12.18800648,12.55873373,11.57698478,11.21729189,12.23018496,11.69214956,12.81832165,-2.34962406,-1.674718196,-4.527911339,-2.506753106,-3.50778425,-2.298053159,-4.573203615,-4.377118826,-4.753950919,-4.870962229,0.17088175,0.085882984,0.301860756,0.216099406,0.25983587,0.346875949,0.172573721,0.214564648,0.299798707,0.170910955,-4.955570745,-1.288244767,-0.905582268,3.111831443,-1.429097287,4.292589863,12.03701706,7.252285114,5.353548332,8.716458725,-4.784688995,-1.202361782,-0.603721512,3.327930848,-1.169261417,4.639465811,12.20959079,7.466849762,5.653347038,8.88736968
50,2,3,26,11,Michigan,Arenac County,15899,15903,15852,15635,15500,15411,15317,15304,15126,15009,15033,14944,14953,-51,-217,-135,-89,-94,-13,-178,-117,24,-89,9,19,143,126,108,117,147,118,120,128,134,137,60,213,209,217,217,181,206,231,204,193,218,-41,-70,-83,-109,-100,-34,-88,-111,-76,-59,-81,0,2,2,-1,1,2,2,0,-1,-1,-1,-9,-147,-53,23,10,21,-92,-4,102,-28,92,-9,-145,-51,22,11,23,-90,-4,101,-29,91,-1,-2,-1,-2,-5,-2,0,-2,-1,-1,-1,207,207,207,207,207,207,207,207,207,207,207,207,9.083113666,8.093785129,6.987803695,7.615204374,9.601254041,7.755504436,7.964161274,8.521403369,8.940187477,9.164799144,13.52939308,13.42540549,14.04030928,14.12392606,11.82195226,13.53927046,15.33101045,13.58098662,12.87653868,14.58340302,-4.446279417,-5.331620363,-7.052505581,-6.508721687,-2.220698214,-5.78376602,-7.366849179,-5.05958325,-3.936351203,-5.418603873,0.127036555,0.12847278,-0.064701886,0.065087217,0.130629307,0.131449228,0,-0.066573464,-0.066717817,-0.066896344,-9.337186775,-3.404528665,1.488143379,0.650872169,1.37160772,-6.046664476,-0.265472042,6.790493309,-1.868098876,6.154463659,-9.210150221,-3.276055886,1.423441493,0.715959386,1.502237027,-5.915215248,-0.265472042,6.723919846,-1.934816693,6.087567314
50,2,3,26,13,Michigan,Baraga County,8860,8866,8861,8835,8725,8716,8649,8583,8532,8433,8313,8245,8164,-5,-26,-110,-9,-67,-66,-51,-99,-120,-68,-81,22,79,88,73,77,80,60,72,62,60,70,11,113,120,89,110,94,102,110,111,104,125,11,-34,-32,-16,-33,-14,-42,-38,-49,-44,-55,0,7,4,5,5,6,2,2,0,0,0,-17,2,-83,2,-37,-57,-11,-62,-71,-24,-26,-17,9,-79,7,-32,-51,-9,-60,-71,-24,-26,1,-1,1,0,-2,-1,0,-1,0,0,0,1010,1010,1010,1010,1011,1027,1031,1010,1010,1010,1010,1011,8.928571429,10.02277904,8.37107964,8.868413475,9.285051068,7.011393515,8.488063661,7.404753374,7.247252084,8.531903224,12.77124774,13.66742597,10.20583682,12.66916211,10.90993501,11.91936898,12.96787504,13.25689717,12.56190361,15.23554147,-3.842676311,-3.644646925,-1.834757181,-3.800748632,-1.624883937,-4.90797546,-4.479811376,-5.852143796,-5.314651528,-6.703638247,0.791139241,0.455580866,0.573361619,0.575871005,0.69637883,0.233713117,0.235779546,0,0,0,0.226039783,-9.453302961,0.229344648,-4.261445436,-6.615598886,-1.285422144,-7.30916593,-8.479636928,-2.898900833,-3.168992626,1.017179024,-8.997722096,0.802706267,-3.685574431,-5.919220056,-1.051709027,-7.073386384,-8.479636928,-2.898900833,-3.168992626
50,2,3,26,15,Michigan,Barry County,59173,59177,59092,58921,59025,59094,59305,59434,59801,60689,61195,61481,62061,-85,-171,104,69,211,129,367,888,506,286,580,154,629,641,624,618,656,627,637,639,625,658,97,489,506,557,479,551,565,569,597,589,628,57,140,135,67,139,105,62,68,42,36,30,2,14,14,9,15,29,38,30,18,12,11,-148,-326,-42,2,71,5,268,790,449,239,541,-146,-312,-28,11,86,34,306,820,467,251,552,4,1,-3,-9,-14,-10,-1,0,-3,-1,-2,603,605,604,605,606,612,611,606,605,605,601,601,10.65984256,10.8693809,10.56561603,10.43927736,11.04944458,10.51704617,10.57349158,10.48537954,10.18944211,10.65224782,8.287222594,8.580197718,9.431166874,8.091284555,9.280859701,9.477083071,9.444767201,9.796199665,9.602530242,10.16658302,2.372619966,2.289183186,1.134449157,2.347992804,1.768584879,1.039963098,1.128724376,0.689179876,0.586911865,0.485664794,0.237261997,0.237396775,0.152388693,0.253380518,0.4884663,0.637396738,0.497966636,0.295362804,0.195637289,0.178077091,-5.524815063,-0.712190324,0.033864154,1.199334454,0.084218328,4.49532436,13.11312142,7.367661055,3.896442662,8.758155121,-5.287553066,-0.47479355,0.186252847,1.452714972,0.572684628,5.132721097,13.61108806,7.663023859,4.09207995,8.936232213
50,2,3,26,17,Michigan,Bay County,107771,107773,107678,107423,106980,106817,106073,105271,104421,104085,103674,102964,102387,-95,-255,-443,-163,-744,-802,-850,-336,-411,-710,-577,297,1153,1070,1030,1088,1030,1019,1051,939,971,921,311,1160,1190,1138,1158,1298,1247,1277,1242,1238,1242,-14,-7,-120,-108,-70,-268,-228,-226,-303,-267,-321,10,78,54,33,24,14,17,11,8,2,3,-81,-323,-364,-76,-697,-544,-637,-115,-112,-446,-261,-71,-245,-310,-43,-673,-530,-620,-104,-104,-444,-258,-10,-3,-13,-12,-1,-4,-2,-6,-4,1,2,1438,1438,1438,1438,1438,1438,1439,1439,1439,1439,1439,1438,10.72054523,9.981203621,9.63530826,10.22124102,9.7471421,9.719016462,10.08124466,9.039319596,9.398077798,8.970007451,10.78563094,11.10059094,10.64561243,10.87885763,12.2832917,11.89363447,12.24904799,11.95616074,11.98230722,12.09636184,-0.065085704,-1.119387322,-1.010304167,-0.65761661,-2.536149595,-2.174618011,-2.167803325,-2.916841148,-2.584229425,-3.126354388,0.725240701,0.503724295,0.308704051,0.225468552,0.132485427,0.162142571,0.105512551,0.077012308,0.019357524,0.029218265,-3.003240338,-3.395474877,-0.710954784,-6.547982526,-5.148005148,-6.075577514,-1.103085763,-1.078172305,-4.316727804,-2.541989082,-2.277999637,-2.891750582,-0.402250733,-6.322513974,-5.015519721,-5.913434943,-0.997573211,-1.001159998,-4.29737028,-2.512770817
50,2,3,26,19,Michigan,Benzie County,17525,17519,17495,17380,17319,17340,17466,17386,17523,17625,17748,17767,17852,-24,-115,-61,21,126,-80,137,102,123,19,85,37,146,147,145,169,155,145,175,153,142,141,58,200,204,207,224,209,217,181,211,213,230,-21,-54,-57,-62,-55,-54,-72,-6,-58,-71,-89,0,-2,-3,-2,-2,-2,1,1,1,1,0,0,-59,4,82,181,-22,210,107,179,89,176,0,-61,1,80,179,-24,211,108,180,90,176,-3,0,-5,3,2,-2,-2,0,1,0,-2,252,252,252,252,252,252,252,252,252,252,252,252,8.372759857,8.472866653,8.367235062,9.710969373,8.894754964,8.3073133,9.957892341,8.650665762,7.996621146,7.917122884,11.46953405,11.75826393,11.94494936,12.87134402,11.99357282,12.43232404,10.29930579,11.93000311,11.99493172,12.91445577,-3.096774194,-3.285397274,-3.577714302,-3.160374648,-3.098817858,-4.125010742,-0.341413452,-3.279337348,-3.998310573,-4.997332884,-0.114695341,-0.172915646,-0.115410139,-0.114922714,-0.114771032,0.057291816,0.056902242,0.056540299,0.056314233,0,-3.383512545,0.230554195,4.73181569,10.40050566,-1.26248135,12.03128133,6.088539889,10.12071354,5.011966775,9.882366153,-3.498207885,0.057638549,4.616405551,10.28558295,-1.377252381,12.08857315,6.14544213,10.17725384,5.068281008,9.882366153
50,2,3,26,21,Michigan,Berrien County,156813,156810,156740,156911,156669,156205,156074,155136,154451,154264,153892,153352,153025,-70,171,-242,-464,-131,-938,-685,-187,-372,-540,-327,482,1946,1817,1833,1869,1791,1720,1717,1670,1648,1644,426,1610,1672,1653,1701,1844,1719,1816,1808,1711,1818,56,336,145,180,168,-53,1,-99,-138,-63,-174,85,353,474,438,419,353,437,328,223,176,154,-204,-514,-856,-1092,-707,-1237,-1121,-411,-454,-653,-312,-119,-161,-382,-654,-288,-884,-684,-83,-231,-477,-158,-7,-4,-5,10,-11,-1,-2,-5,-3,0,5,3531,3531,3576,3612,3636,3611,3562,3496,3489,3500,3512,3512,12.40869629,11.58874928,11.71717688,11.97006523,11.50991292,11.11157768,11.12352817,10.83866613,10.72763016,10.73187609,10.26618758,10.66394541,10.56655395,10.89410431,11.85051894,11.10511746,11.76489643,11.73431639,11.13772767,11.86773159,2.142508712,0.924803878,1.150622935,1.07596092,-0.340606022,0.00646022,-0.641368252,-0.895650255,-0.410097512,-1.135855498,2.25090945,3.023151987,2.799849141,2.68349777,2.268564635,2.823115958,2.12493724,1.44731889,1.14566924,1.005297395,-3.277528208,-5.459531858,-6.980445802,-4.528002203,-7.949616015,-7.241906152,-2.662650017,-2.946559535,-4.25069326,-2.036706411,-1.026618758,-2.436379871,-4.180596662,-1.844504434,-5.68105138,-4.418790195,-0.537712777,-1.499240644,-3.10502402,-1.031409016
50,2,3,26,23,Michigan,Branch County,45248,45242,45173,43921,43790,43582,43733,43635,43451,43345,43474,43444,43424,-69,-1252,-131,-208,151,-98,-184,-106,129,-30,-20,131,548,479,550,554,518,536,536,532,561,568,77,434,447,448,418,475,456,489,472,436,449,54,114,32,102,136,43,80,47,60,125,119,9,43,54,49,51,46,47,38,28,30,22,-135,-1423,-217,-362,-27,-184,-310,-190,42,-186,-162,-126,-1380,-163,-313,24,-138,-263,-152,70,-156,-140,3,14,0,3,-9,-3,-1,-1,-1,1,1,3148,3148,1896,1969,1967,1985,1973,1969,1962,1973,1974,1868,12.30161403,10.92223324,12.58984572,12.68968677,11.85788847,12.3096709,12.35079958,12.25538189,12.90871856,13.0773127,9.742519137,10.19256422,10.2550016,9.574529004,10.87354638,10.47240659,11.26780036,10.87319596,10.03244437,10.3375236,2.559094889,0.729669027,2.334844115,3.115157762,0.984342093,1.837264313,1.082999217,1.382185927,2.87627419,2.739789105,0.965272633,1.231316483,1.1216408,1.168184161,1.053017123,1.079392784,0.875616388,0.645020099,0.690305806,0.506515633,-31.94378971,-4.948068087,-8.286407545,-0.618450438,-4.212068492,-7.119399215,-4.378081939,0.967530149,-4.279895994,-3.729796933,-30.97851707,-3.716751605,-7.164766744,0.549733723,-3.159051369,-6.04000643,-3.502465551,1.612550248,-3.589590188,-3.2232813
50,2,3,26,25,Michigan,Calhoun County,136146,136150,135953,135111,134755,134782,134845,134377,134343,134127,133858,133806,133580,-197,-842,-356,27,63,-468,-34,-216,-269,-52,-226,409,1662,1619,1683,1700,1670,1647,1617,1492,1509,1508,453,1468,1449,1463,1457,1463,1561,1574,1531,1506,1489,-44,194,170,220,243,207,86,43,-39,3,19,51,195,330,296,335,308,341,242,150,98,82,-203,-1235,-860,-485,-501,-984,-457,-498,-377,-154,-331,-152,-1040,-530,-189,-166,-676,-116,-256,-227,-56,-249,-1,4,4,-4,-14,1,-4,-3,-3,1,4,4275,4277,4205,4090,4020,4016,3995,4137,4228,4332,4293,4294,12.26278665,11.99854743,12.48808141,12.61001309,12.40611837,12.25811253,12.04603866,11.13495158,11.27533027,11.27957335,10.83139037,10.73866289,10.85565247,10.80752299,10.868354,11.61804108,11.72570492,11.42601265,11.2529141,11.13745671,1.431396275,1.259884535,1.632428943,1.802490107,1.537764373,0.64007145,0.320333743,-0.291061067,0.022416164,0.14211664,1.438774607,2.445658216,2.196358941,2.484914345,2.288074526,2.537957726,1.802808508,1.119465642,0.732261343,0.613345501,-9.112239176,-6.373533531,-3.598763806,-3.716245035,-7.309952381,-3.401309914,-3.709911722,-2.813590313,-1.150696395,-2.475821472,-7.673464569,-3.927875316,-1.402404865,-1.23133069,-5.021877855,-0.863352188,-1.907103215,-1.694124671,-0.418435053,-1.862475971
50,2,3,26,27,Michigan,Cass County,52293,52287,52245,52210,51815,51601,51585,51370,51326,51534,51773,51847,51584,-42,-35,-395,-214,-16,-215,-44,208,239,74,-263,108,471,469,440,537,513,484,485,489,483,463,104,479,497,524,511,567,515,528,541,549,582,4,-8,-28,-84,26,-54,-31,-43,-52,-66,-119,8,18,13,-2,13,12,12,12,2,0,1,-53,-43,-385,-118,-48,-171,-19,244,290,142,-145,-45,-25,-372,-120,-35,-159,-7,256,292,142,-144,-1,-2,5,-10,-7,-2,-6,-5,-1,-2,0,474,474,474,474,610,611,610,610,625,611,555,491,9.018237519,9.017063206,8.509321575,10.40838874,9.965518916,9.425878321,9.430293603,9.466928669,9.322524609,8.952828456,9.171413527,9.555395338,10.13382842,9.904444401,11.01452091,10.02960193,10.26638149,10.47363683,10.59640996,11.2538794,-0.153176009,-0.538332132,-1.624506846,0.503944334,-1.049001991,-0.603723611,-0.836087886,-1.006708161,-1.27388535,-2.301050942,0.34464602,0.249939918,-0.038678734,0.251972167,0.233111554,0.233699463,0.233326852,0.038719545,0,0.019336563,-0.823321047,-7.402066811,-2.282045331,-0.93035877,-3.321839639,-0.370024149,4.744312658,5.614333975,2.740783633,-2.803801568,-0.478675028,-7.152126893,-2.320724066,-0.678386603,-3.088728085,-0.136324686,4.97763951,5.65305352,2.740783633,-2.784465006
50,2,3,26,29,Michigan,Charlevoix County,25949,25955,25936,26106,26193,26258,26222,26219,26214,26218,26247,26202,26105,-19,170,87,65,-36,-3,-5,4,29,-45,-97,55,248,242,257,212,239,245,217,223,218,240,43,284,236,290,300,287,269,281,300,303,319,12,-36,6,-33,-88,-48,-24,-64,-77,-85,-79,5,55,70,24,33,28,28,25,22,20,12,-35,151,18,75,26,20,-7,44,84,22,-30,-30,206,88,99,59,48,21,69,106,42,-18,-1,0,-7,-1,-7,-3,-2,-1,0,-2,0,279,279,279,279,279,279,279,279,279,279,279,279,9.530763614,9.254479053,9.799622505,8.079268293,9.115005435,9.345259665,8.277387855,8.500905366,8.312837232,9.176592043,10.91426156,9.025029159,11.05793979,11.43292683,10.94563414,10.26071367,10.7186451,11.43619556,11.55408111,12.19722026,-1.383497944,0.229449894,-1.258317287,-3.353658537,-1.830628707,-0.915454008,-2.441257247,-2.935290193,-3.241243875,-3.020628214,2.113677414,2.676915429,0.915139845,1.257621951,1.067866746,1.068029676,0.953616112,0.838654341,0.762645618,0.458829602,5.803005265,0.688349682,2.859812015,0.990853659,0.762761961,-0.267007419,1.678364358,3.202134757,0.838910179,-1.147074005,7.916682679,3.36526511,3.77495186,2.24847561,1.830628707,0.801022257,2.63198047,4.040789098,1.601555797,-0.688244403
50,2,3,26,31,Michigan,Cheboygan County,26152,26143,26059,25884,25745,25573,25635,25399,25452,25448,25574,25331,25365,-84,-175,-139,-172,62,-236,53,-4,126,-243,34,48,169,203,190,214,214,210,231,232,187,178,96,289,306,304,299,324,304,345,331,355,393,-48,-120,-103,-114,-85,-110,-94,-114,-99,-168,-215,0,10,7,3,5,2,1,0,0,0,0,-34,-64,-38,-56,143,-127,147,111,225,-74,250,-34,-54,-31,-53,148,-125,148,111,225,-74,250,-2,-1,-5,-5,-1,-1,-1,-1,0,-1,-1,388,389,390,391,390,389,390,391,391,391,391,391,6.507132819,7.863797478,7.404809229,8.358069052,8.386565819,8.259424593,9.076620825,9.094116264,7.347018957,7.022250276,11.12758216,11.8538031,11.84769477,11.67786283,12.69741741,11.95650036,13.55599214,12.97479519,13.94754936,15.50418179,-4.620449339,-3.990005617,-4.442885537,-3.319793782,-4.310851589,-3.69707577,-4.479371316,-3.880678923,-6.6005304,-8.481931513,0.385037445,0.27116543,0.116918041,0.195281987,0.07837912,0.039330593,0,0,0,0,-2.464239647,-1.472040907,-2.182470088,5.585064834,-4.977074107,5.781597215,4.361493124,8.819724825,-2.907376486,9.862711062,-2.079202202,-1.200875477,-2.065552048,5.780346821,-4.898694988,5.820927809,4.361493124,8.819724825,-2.907376486,9.862711062
